Organisation,Address,Website,About,Email,Twitter,Phone number,Latitude,Longitude
St George's House,"St Georges House, 101 St George's Rd, Bristol BS1 5UP",1625ip.co.uk,"1625 Independent People is a charity that supports young people who are homeless or at risk of homelessness. For over 30 years we have provided essential services to young people and we partner with agencies across the South West so that together we can change lives. 
 
 We provide a broad range of care for young people. We find secure homes, teach life-skills, offer advice, help access training and job opportunities. Most importantly, we help young people to live happily and independently.",bristolyouthmaps@1625ip.co.uk,https://twitter.com/1625ip,0117 927 6600,51.451125,-2.606345
Emmaus Bristol,"72 Bedminster Parade, Bristol BS3 4HL",emmausbristol.org.uk,"In the decade since we first opened we have achieved our core aim of establishing a home and work for 23 previously homeless people. Support for the project has been from a very diverse number of funding and grant making bodies including private donations, company donations and a huge number of private individuals.",info@emmausbristol.org.uk,https://twitter.com/emmausbristol,0117 954 0886,51.443884,-2.593485
Bristol Soup Run Trust,"112 Marissal Rd, Longwell Green, Bristol BS10 7NP",bristolsoupruntrust.org.uk,"The Bristol Soup Run Trust aims to ensure that, on every night of the year, food and other essential supplies are made available, free of charge, to homeless and other needy people on the streets of Bristol. The Trust also aims to provide clients with basic information on issues of relevance such as access to emergency accommodation and advice centres.",info@bristolsoupruntrust.org.uk,No account,0117 203 3183,51.439916,-2.497463
Second Step,"9 Brunswick Square, Bristol BS2 8PE",second-step.co.uk,"Second Step is a leading mental health charity in the South West offering housing, support and hope to thousands of people with mental health and other problems. 
 
 In the mid-1980s, a passionate group of social workers and community psychiatric nurses recognised that many people were in hospital not just because of their mental health problems, but because they had nowhere else to go.
 
 Housing initiatives at that time didn’t give people the mental health and practical support they needed once out of hospital. The group decided to set up a housing association where the emotional and mental wellbeing of each individual was central.
 
 The founders found landlords with available properties to rent, and persuaded people to volunteer their time for free. In 1987, we officially became Second Step, named in recognition of providing a step away from hospital, and one towards recovery and the hope of a better future.",admin@second-step.co.uk,https://twitter.com/wearesecondstep,0117 909 6630,51.460245,-2.587492
St Mungos,"Spring House, Spring Street, Bedminster, Avon, Bristol BS3 4PZ",mungos.org,"For nearly 50 years, St Mungo’s has been at the forefront of efforts to tackle homelessness. Each night our 17 outreach teams go out to help people sleeping rough to move away from the streets, and we provide a bed and support to over 2,800 people. We work to prevent homelessness and support people at every step of their recovery from homelessness.",info@mungos.org.,https://twitter.com/StMungos,0117 953 3816,51.444092,-2.586265
1625 Independent People,"Kingsley Hall, 59, Old Market St, Bristol BS2 0ER",1625ip.co.uk,"1625 Independent People is a charity that supports young people who are homeless or at risk of homelessness. For over 30 years we have provided essential services to young people and we partner with agencies across the South West so that together we can change lives. 
 
 We provide a broad range of care for young people. We find secure homes, teach life-skills, offer advice, help access training and job opportunities. Most importantly, we help young people to live happily and independently.",bristolyouthmaps@1625ip.co.uk,https://twitter.com/1625ip,0117 317 8800,51.455968,-2.581353
Women's Aid,Bristol BS2 2EH,womensaid.org.uk,"We have been at the forefront of shaping and coordinating responses to domestic violence and abuse through practice for over 40 years. We empower survivors by keeping their voices at the heart of our work, working with and for women and children by listening to them and responding to their needs.",helpline@womensaid.org.uk,https://twitter.com/womensaid/,0117 944 4411,51.458641,-2.57516
Crisis Centre Ministries,"32 Stapleton Rd, Bristol BS5 0QY",crisis-centre.org.uk,"Crisis Centre Ministries is an award-winning charity that has been working in Bristol for over 30 years. Comprised of four projects, we're dedicated to helping those with life-disrupting problems, such as homelessness and addiction, to enjoy healthy, independent lives.
 
 Crisis Centre Ministries is rooted in the Christian faith. God calls his people to love him, love our fellow neighbours and to help those less fortunate than ourselves. We believe in loving people as God loves them; our practical work is an expression of the love that God has for every human person.
 
 Most of our staff and volunteers belong to local churches and would identify themselves as Christians. Our funding comes primarily from gifts and donations from individuals, churches and trusts who support the work we do.",admin@crisis-centre.org.uk,https://twitter.com/crisiscentre,0117 330 1230,51.459722,-2.575707
BEX,Bristol BS16 3JL,,,,,,51.474028,-2.537428
Julian House Homeless Hostel,"Julian House, Manvers St, Bath BA1 1JW",julianhouse.org.uk,"A just society where socially excluded people are supported and empowered to build sustainable, independent lives.",admin@julianhouse.org.uk,https://twitter.com/JulianHouseUK,01225 311991,51.378771,-2.356928
"British Red Cross, Refugee Support and International Family Tracing","19, Easton Business Centre, Felix Rd, Bristol BS5 0HE",redcross.org.uk,"We put kindness into action
 The British Red Cross helps millions of people in the UK and around the world get the support they need if crisis strikes.",contactus@redcross.org.uk,https://twitter.com/britishredcross,0117 941 5040,51.462068,-2.567604
Refugee Support Project,"Horley Rd, Bristol BS2 9TJ",bristolrefugeerights.org,"Bristol Refugee Rights (BRR) was set up as a voluntary organisation in 2006 with the aim of upholding and championing the human rights of asylum seekers and refugees.
 
 Since then we have provide a place of welcome where asylum seekers and refugees can meet, as well as helping them to play a full part in the life of the wider community. To compliment our direct support for people going through the asylum system we also campaign for the human rights of refugees and asylum seekers in the UK.",info@bristolrefugeerights.org,https://twitter.com/bristolrefugeer,0117 904 7696,51.467948,-2.573113
Bristol Refugee Rights,"St Paul’s Learning Centre, Grosvenor Rd, Bristol BS2 8XJ",bristolrefugeerights.org,"Bristol Refugee Rights (BRR) was set up as a voluntary organisation in 2006 with the aim of upholding and championing the human rights of asylum seekers and refugees.
 
 Since then we have provide a place of welcome where asylum seekers and refugees can meet, as well as helping them to play a full part in the life of the wider community. To compliment our direct support for people going through the asylum system we also campaign for the human rights of refugees and asylum seekers in the UK.",info@bristolrefugeerights.org,https://twitter.com/bristolrefugeer,0117 914 5480,51.464179,-2.582654
Borderlands,"The Assisi Centre, Lawfords Gate, Bristol BS5 0RE",borderlands.uk.com,"Borderlands is a charity that works with asylum seekers and refugees. Through various projects, we support disadvantaged and excluded people to improve their lives and the community in which they live. Borderlands offers hope to people who may see themselves as lost or abandoned and need support to find a way forward. We believe that giving someone a little help when times are hard for them can make a great deal of difference.",enquiries.borderlands@gmail.com,https://twitter.com/BorderlandsSW/,07718 598188,51.459094,-2.57758
Refugee Women of Bristol,"42, Easton Business Centre, Felix Rd, Easton, Bristol BS5 0HE",refugeewomenofbristol.org.uk,"Refugee Women of Bristol (RWoB) is the only multi-ethnic, multi-faith organisation which specifically targets the needs of refugee women in Bristol, we are directly governed by women of the refugee and asylum-seeking community. We provide services to disenfranchised groups over and above the generic category of ‘refugee’, and routinely reach cohorts of women that other service-providers overlook or are unable to access.",info@refugeewomenofbristol.org.uk,No account,0117 941 5867,51.462352,-2.567991
1625 Independent People - Bristol Foyer,"2a Victoria Street
 Bristol",www.1625ip.co.uk,"1625 Independent People is a charity that supports young people who are homeless or at risk of homelessness. For over 30 years we have provided essential services to young people and we partner with agencies across the South West so that together we can change lives. 
 
 We provide a broad range of care for young people. We find secure homes, teach life-skills, offer advice, help access training and job opportunities. Most importantly, we help young people to live happily and independently.",foyerteam@1625ip.co.uk,https://twitter.com/1625ip,0117 927 6805,51.455968,-2.581353
Bristol Housing Action Movement,"Box 56, Booty
 82 Colston Street
 Bristol
 BS1 5BB",http://www.public-interest.co.uk/bham/,"Revived in 1984, Bristol Housing Action (BHAM) is a non-heirarchical collective of sqatters and their supporters. We help provide housing and other support for homeless people.",No mail addresss,No account,07833 100 399,41.694158,-72.927647
Riverside Care and Support - Jamaica Street,"c/o Amelia Court
 Pipe Lane
 Bristol",www.riverside.org.uk,"We are proud to be one of the leading registered providers of social housing in the UK, offering affordable housing and support to people of all ages and circumstances.",info@riverside.org.uk,No account,0117 352 6745,,
Self Help Community Housing Association,"12 King Square Avenue
 Stokes Croft
 Bristol",www.selfhelpha.co.uk,"Missing Link is a mental health and housing service for women in Bristol. We were established in 1982 to provide a range of housing and support to women that either have acute or long term mental health needs.
 
 We support women who are homeless, or have a history of sleeping rough or whose housing is at risk because of their mental health issues.
 
 Missing Link strives to create a culture that encourages and values everyone’s differences and promotes mutual respect and shared understanding.",housing@selfhelpha.co.uk,No account,0117 970 5400,51.461257,-2.591696
BrisDoc,"The Compass Centre
 1 Jamaica Street
 Bristol
 BS2 8JP",brisdoc.co.uk/,"BrisDoc was launched in 2001 by a team of local GPs committed to improving the care of their patients when their surgeries were closed. In 2006 BrisDoc formed a Limited Company from the co-operative of GP Practices and continues to be owned by GPs and the workforce. In order to hold a share, individuals need to be working for one of BrisDoc’s services. 
 
 Over a decade later, BrisDoc now employs in excess of 300 local people to provide a variety of award winning healthcare to the people of North Somerset, South Gloucestershire and Bristol, 24 hours a day. All our services have been rated as Good by CQC and our Homeless Healthcare Service as Outstanding.",enquiries@brisdoc.co.uk,https://twitter.com/brisdocooh,0117 944 0581,51.481516,-0.468661
Compass Health,"Compass Centre
 1 Jamaica Street
 Bristol
 BS2 8JP",http://www.compasshealthbristol.co.uk/,"Compass Health is a twelve-strong, multi-disciplinary team of professionals with the wide range of experience needed to provide a holistic, non-judgmental and recovery-based primary care service to homeless people.",No mail addresss,No account,0117 989 2450,38.200537,-91.171576
SMART Team (Supervised Methadone and Resettlement Team),"Compass Centre
 1 Jamaica Street
 Bristol
 BS2 8JP",http://www.bristolnightstop.org.uk/,"When no other options are available we arrange temporary and emergency accommodation for young homeless people – a safe place to stay in the homes of trained and vetted individuals in through our Volunteer ‘Host Network’. Bristol Nightstop Hosts will offer a warm room to stay in their own home, an evening meal, breakfast, support and compassion and are recruited, trained, supported and supervised by project workers.",info@caringinbristol.org.uk,https://twitter.com/@caringinbristol,0117 989 2450,31.784412,-96.896115
Bristol Nightstop,"The Station
 Silver Street
 Bristol BS1 2AG",http://www.bristolnightstop.org.uk/,"When no other options are available we arrange temporary and emergency accommodation for young homeless people – a safe place to stay in the homes of trained and vetted individuals in through our Volunteer ‘Host Network’. Bristol Nightstop Hosts will offer a warm room to stay in their own home, an evening meal, breakfast, support and compassion and are recruited, trained, supported and supervised by project workers.",info@caringinbristol.org.uk,https://twitter.com/@caringinbristol,,51.454513,-2.58791
Bristol Methodist Centre,"Lincoln Street Lawrence Hill
 Bristol, BS5 0BJ",http://www.methodist-centre.org.uk/,"From its former base in Midland Road, the Bristol Methodist Centre provided support for the homeless and marginalised for nearly 30 years.
 
 On November 1st 2015 the centre relocated to a former United Reformed/Methodist Church on Lincoln Street where oursmall team of professionally trained and compassionate staff and volunteers have continued to offer an open door and a commitment to enabling people to take the next steps to personal achievement. 
 
 The Bristol Methodist Centre is a project of the Bristol and South Gloucestershire Methodist Circuit (registered charity number 1150295). 
 
 A Management Committee oversees the day to day running of the centre.",manager@methodist-centre.org.uk,No account,0117 9555 606.,,
"Support, Supplies and Sanctuary","5-7 Waverley Road, Redland, Bristol BS6 6ES.",www.aidboxcommunity.co.uk,"Aid Box Community (ABC) is a Bristol-based humanitarian organisation set up by group of ordinary people in response to the continuing refugee crisis. We come from all walks of life, and all have different jobs and interests. But we’ve come together to pool our time, energy, skills and whatever money we can give for a cause that we simply couldn’t ignore. With the backing of four fabulous trustees, we're getting things done.",aidboxcommunity@gmail.com,No account,0117 336 8441,51.465641,-2.606071
Refugee Women of Bristol,"Unit 42 Easton Business Centre
 Felix Road, Easton
 Bristol, BS5 0HE",http://www.refugeewomenofbristol.org.uk/,"Refugee Women of Bristol (RWoB) is the only multi-ethnic, multi-faith organisation which specifically targets the needs of refugee women in Bristol, we are directly governed by women of the refugee and asylum-seeking community. We provide services to disenfranchised groups over and above the generic category of ‘refugee’, and routinely reach cohorts of women that other service-providers overlook or are unable to access.",info@refugeewomenofbristol.org.uk,No account,0117 9415867,51.462352,-2.567991
,,,,,,,,
Shelter West Yorkshire (Halifax),"Fountain St, Halifax HX1 1LW",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1680,53.721313,-1.862255
Shelter Lincolnshire,"14 Melville St, Lincoln LN5 7HW",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,,53.227519,-0.536587
Shelter charity shop (Worthing),"131 Montague St, Worthing BN11 3BP",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,01903 210451,50.80985,-0.375993
Shelter charity shop (Wrexham),"8 Hill St, Ruabon, Wrexham LL11 1SN",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,01978 361580,53.046285,-2.996089
Shelter charity shop (Tunstall),"87 High St, Stoke-on-Trent ST6 5TA",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,01782 810693,53.057127,-2.210548
Shelter charity shop (Longton),"65 The Strand, Stoke-on-Trent ST3 2NS",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,01782 334891,52.987681,-2.13673
Shelter charity shop (Faversham),"41 Court St, Faversham ME13 7AL",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,01795 538556,51.316337,0.891756
Shelter,"88 Old St, London EC1V 9HU",shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0300 330 1234,51.524495,-0.094439
Shelter Birmingham - SIFA Fireside,"Homeless Prevention Welfare Service, 48-52 Allcock St, Birmingham B9 4DY",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0121 766 1700,52.475711,-1.879761
Shelter charity shop (Strood),"52 High St, Rochester ME2 4AR",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,01634 727664,51.395009,0.496627
Shelter London - Islington,"4 Garrett St, London EC1Y 0TY",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1540,51.523664,-0.0952
Cambridge Cyrenians,"4 Short St, Cambridge CB1 1LB",cambridgecyrenians.org.uk,"We provide accommodation for over 70 men and women in Cambridge, together with services and specialist support for homeless people.",val@cambridgecyrenians.org.uk,https://twitter.com/CamCyrenians,01223 712501,52.207431,0.127325
Shelter Birmingham - Gateway House,"5th Floor, Gateway House, 50-53 High Street, Birmingham B4 7SY",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1800,52.480027,-1.894371
George House,"22a George Pl, Plymouth PL1 3NY",bcha.org.uk,"Bournemouth Churches Housing Association was founded in 1968 by a number of local churches, to try to make a practical contribution to local housing problems.
 
 Since then, BCHA has grown from strength to strength. We are a major provider of a diverse range of housing, support and learning services for socially excluded people. Although based in Bournemouth, we currently deliver services across the South from Plymouth to Reading. 
 
 Bournemouth Churches Housing Association Limited is a charitable registered society under the Co-operative and Community Benefit Societies Act 2014, registered with the Financial Conduct Authority No. 18497R and with the Homes and Communities Agency No. LH0155.",igniteproject@bcha.org.uk,https://twitter.com/BCHAnews,01752 664441,50.368904,-4.156666
Shelter Thames Valley - Oxford,"St Aldates Chambers, 109 St Aldate's, Oxford OX1 1DS",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1380,51.751314,-1.257922
Shelter London - Newham,"Stratford Advice Arcade, 107-109 The Grove, London E15 1HP",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1540,51.544164,0.00473
Veterans Association UK,"N2, Accrington Market, Peel St, Accrington BB5 1ER",veteransassociationuk.com,"The Veterans Association UK (VAUK) is a registered charity committed to helping veterans and serving military and their families with housing, mental health and social welfare issues. We also provide our services to UK emergency services veterans - ex Police, Fire, Ambulance services. 
 
 Our services are provided largely by a nationwide network of volunteers, that spans the country from Cornwall to the far north of Scotland! Our services are free to access and all our coordinators are fully trained",veteransassociation@hotmail.co.uk,No account,07713 329903,53.753235,-2.364316
Homeless Link,"Minories House, 2-5 Minories, London EC3N 1BJ",homeless.org.uk,We are the national membership charity for organisations working directly with people who become homeless in England. We work to make services better and campaign for policy change that will help end homelessness.,No mail addresss,https://twitter.com/homelesslink,020 7840 4430,51.513478,-0.075673
Passage House,"1-5 Longmoore St, Pimlico, London SW1V 1JH",passage.org.uk,"The Passage runs London’s largest voluntary sector resource centre for homeless and vulnerable people: each day we help up to 200 men and women.
 
 Our eight-strong team of Outreach Workers makes contact, often late at night or early in the morning, with those sleeping rough in Victoria as they are bedding down or getting up each day.
 
 Our 40-bed hostel, Passage House, was officially opened on 1 March 2000. In the financial year 2015-2016, 67 rough sleepers moved off the streets and into Passage House.
 
 Our 16 self-contained studio flats in Montfort House have staff support on site and specialise in helping very long term rough sleepers.
 
 We welcome and treat clients with respect and dignity, and find out what they need and want. We offer professional and appropriate advice and help according to the client’s needs and aspirations. We agree an action plan with clients which is time limited with the aim of supporting clients out of homelessness.
 
 Of the over £4 million a year it costs to keep The Passage going, only 33% is funded from statutory sources; the rest comes from donations from individuals, church organisations, charitable trusts and companies.",info@passage.org.uk,https://twitter.com/PassageCharity,020 7821 6801,51.492758,-0.139642
Centrepoint,"Langtry Pl, Fulham, London SW6 1XR",centrepoint.org.uk,"More than 400 staff work for Centrepoint across the country, supporting homeless young people into a home and a job every day.
 
 They include front line workers based in our hostels, counsellors and health supporters.
 
 We're also led by a Board of Trustees, which holds us to account, and supported by a wonderful Patron and group of dedicated ambassadors.",supportercare@centrepoint.org,https://twitter.com/centrepointuk,0845 466 3400,51.486949,-0.196605
Shelter,"Pleasant Court, Hospital Walk, King's Lynn PE30 5PR",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1860,52.748824,0.403046
Wintercomfort For The Homeless,"Overstream House, Victoria Ave, Cambridge CB4 1EG",wintercomfort.org.uk,Wintercomfort supports men and women who are homeless or vulnerably housed by offering them vital welfare services and opportunities for learning and training. We are a day centre open 7 days a week.,food4food@wintercomfort.org.uk,https://twitter.com/wintercomfort20,01223 518140,52.213676,0.125831
Shelter charity shop (Plumstead),"43 Lakedale Rd, Plumstead, London SE18 1PR",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,020 8854 6305,51.486571,0.091073
Shelter Manchester,"5 Samuel Ogden St, Manchester M1 7AX",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1640,53.475485,-2.237397
Shelter Sheffield,"Furnival House, 48 Furnival Gate, Sheffield S1 4QP",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1515,53.377414,-1.470771
Shelter Eastern Counties - Norwich,"Whitefriars House, 50 Fishergate, Norwich NR3 1SE",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1860,52.634404,1.300231
St Mungos Broadway,"146 Mare St, London E8 3SG",mungos.org,"For nearly 50 years, St Mungo’s has been at the forefront of efforts to tackle homelessness. Each night our 17 outreach teams go out to help people sleeping rough to move away from the streets, and we provide a bed and support to over 2,800 people. We work to prevent homelessness and support people at every step of their recovery from homelessness.",info@mungos.org.,https://twitter.com/StMungos,020 8525 7700,51.539269,-0.056212
Shelter North East - Newcastle,"140-150 Pilgrim St, Newcastle upon Tyne NE1 6TH",england.shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,0344 515 1601,54.970829,-1.609399
Shelter Charity Shop (Wood Green),"20 High Rd, Wood Green, London N22 6BX",shelter.org.uk,"Shelter helps millions of people every year struggling with bad housing or homelessness through our advice, support and legal services. And we campaign to make sure that, one day, no one will have to turn to us for help.",info@shelter.org.uk,https://twitter.com/Shelter,020 8881 7106,51.591292,-0.104064
Chester Aid to the Homeless,"85 Watergate St, Chester CH1 2LF",cath.org.uk,"Chester Aid to the Homeless remains the key Chester City Centre charity for homeless people, offering support, encouragement and a safety net to those in crisis. The Harold Tomlins Centre is open to all in need of help and support.",info@cath.org.uk,https://twitter.com/CATHsupport,01244 314834,53.189366,-2.896146
St Mungo's,"113-117 Cedars Rd, London SW4 0PW",mungos.org,"For nearly 50 years, St Mungo’s has been at the forefront of efforts to tackle homelessness. Each night our 17 outreach teams go out to help people sleeping rough to move away from the streets, and we provide a bed and support to over 2,800 people. We work to prevent homelessness and support people at every step of their recovery from homelessness.",info@mungos.org.,https://twitter.com/StMungos,020 7720 7377,51.46326,-0.150083
Thames Reach Bondway,"62 Bondway, London SW8 1SF",thamesreach.org.uk,"Thames Reach’s mission is to assist homeless and vulnerable men and women to find decent homes, build supportive relationships and lead fulfilling lives.",enquiries@thamesreach.org.uk,https://twitter.com/ThamesReach?,020 7840 9820,51.484192,-0.125061
